,ADM,Credito,Entrada,Prazo,Parcelas,Cod,Vencimento,Transferencia,
Imovel,Porto,84.852,33.000,64,"2 x 1.841,00 + 62 x 1.349,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Magalu,86.000,38.000,1223,809,C105,Consultar,Consultar,Disponivel
Imovel,Mycon,86.584,42.100,159,609,C209,08/08/2025,"613,65",Disponivel
Imovel,Mycon,88.000,42.000,159,602,C209,07/08/2025,"500,00",Disponivel
Imovel,Porto,88.000,46.000,152,575,C70,15/08/2025,"1.000,00",Disponivel
Imovel,Porto,88.000,49.000,152,575,C07,15/08/2025,Consultar,Disponivel
Imovel,Mycon,89.267,54.300,165,367,C209,08/08/2025,"666,78",Disponivel
Imovel,Itau,90.000,45.900,180,600,C09,05/08/2025,Consultar,Disponivel
Imovel,Itau,97.000,50.900,125,794,C09,05/08/2025,Consultar,Disponivel
Imovel,Itau,97.000,50.900,157,619,C09,05/08/2025,Consultar,Disponivel
Imovel,Bradesco,98.000,67.000,48,792,C117,10/08/2025,Consultar,Disponivel
Imovel,Itau,98.000,50.900,155,779,C09,05/08/2025,Consultar,Disponivel
Imovel,Mycon,99.219,60.600,163,377,C209,08/08/2025,"574,75",Disponivel
Imovel,Mycon,100.000,49.000,233,485,C209,07/08/2025,"500,00",Disponivel
Imovel,Porto,100.000,50.900,189,643,C09,15/08/2025,Consultar,Disponivel
Imovel,Mycon,100.210,49.000,161,677,C209,07/08/2025,"500,00",Disponivel
Imovel,Rodobens,100.523,44.520,207,618,C35,Consultar,Consultar,Disponivel
Imovel,Rodobens,100.523,42.520,204,644,C35,Consultar,Consultar,Disponivel
Imovel,Porto,101.300,44.000,189,643,C23,15/08/2025,"1.000,00",Disponivel
Imovel,Santander,101.300,50.900,208,540,C07,10/08/2025,Consultar,Disponivel
Imovel,Rodobens,101.834,43.500,212,644,C35,Consultar,Consultar,Disponivel
Imovel,Cnp,102.200,48.000,108,"1 x 1.390,00 + 9 x 1.118,00 + 98 x 1.039,00",C07,11/08/2025,Consultar,Disponivel
Imovel,Porto,103.000,51.000,68,1.211,C07,15/08/2025,Consultar,Disponivel
Imovel,Rodobens,103.000,55.000,62,44 x 1.765 + 18 x 1.340,C28,10/08/2025,"1.400,00",Disponivel
Imovel,Porto,104.000,51.900,177,695,C09,15/08/2025,Consultar,Disponivel
Imovel,Mycon,104.364,74.000,158,245,C209,08/08/2025,"500,00",Disponivel
Imovel,Porto,105.420,57.000,236,"20 x 488,00 + 216 x 456,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Rodobens,105.451,42.900,206,644,C35,Consultar,Consultar,Disponivel
Imovel,Rodobens,106.197,47.560,194,683,C35,Consultar,Consultar,Disponivel
Imovel,Bradesco,106.500,47.000,142,700,C117,10/08/2025,Consultar,Disponivel
